Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
6434,Yildiz,JUV,34,6.34,7.01,7,0,0,0,0,4,2,1
632,Zaccagni,LAZ,34,6.28,7.01,8,0,2,2,0,6,10,0
4510,Leao,MIL,34,6.15,7.01,8,0,0,0,0,8,5,0
6913,Lambourde,VER,3,6.0,7.0,1,0,0,0,0,0,1,0
5800,Gudmundsson A.,FIO,21,6.12,6.98,6,0,2,2,0,1,2,0
5513,Dumfries,INT,29,6.26,6.98,7,0,0,0,0,2,4,0
6215,Lucca,UDI,33,6.03,6.97,12,0,1,1,0,0,10,0
5875,Adli,FIO,22,6.18,6.93,4,0,0,0,0,6,1,1
2765,Odgaard,BOL,28,6.21,6.91,6,0,0,0,0,2,1,0
254,Dimarco,INT,32,6.36,6.91,4,0,0,0,0,7,3,0
7023,Pellegrino M.,PAR,11,6.18,6.91,3,0,0,0,0,0,2,0
5995,De Ketelaere,ATA,35,6.17,6.9,7,0,0,0,0,5,1,0
6010,Fazzini,EMP,20,6.35,6.9,4,0,0,0,0,1,2,1
4220,Zambo Anguissa,NAP,35,6.33,6.89,6,0,0,0,0,4,5,0
4359,Piccoli,CAG,37,6.12,6.88,10,0,1,1,0,1,6,0
6435,Krstovic,LEC,37,6.0,6.86,11,0,2,3,0,5,6,0
2103,Pellegri,EMP,9,6.0,6.83,3,0,0,0,0,0,3,0
6213,Brenner,UDI,6,6.0,6.83,1,0,0,0,0,2,0,0
5672,Dia,LAZ,35,5.97,6.83,9,0,0,0,0,4,2,0
2194,Calhanoglu,INT,28,6.27,6.82,5,0,3,4,0,6,5,0
313,Morata,MIL,16,6.03,6.81,5,0,0,0,0,0,5,0
4486,Strefezza,COM,37,6.23,6.76,6,0,0,0,0,4,5,0
4463,Esposito Se.,EMP,33,6.14,6.76,8,0,1,2,0,0,1,0
4856,Chukwueze,MIL,16,6.06,6.75,3,0,0,0,0,2,0,0
5036,Caqueret,COM,16,6.31,6.75,2,0,0,0,0,3,4,0
6646,Adams C.,TOR,36,6.0,6.74,9,0,0,1,0,4,3,0
5311,Shomurodov,ROM,21,6.07,6.74,4,0,0,0,0,2,1,0
1870,Barella,INT,33,6.33,6.73,3,0,0,0,0,6,4,0
2848,Frattesi,INT,24,6.06,6.73,5,0,0,0,0,1,1,0
6895,Dominguez B.,BOL,20,6.15,6.7,3,0,0,0,0,2,0,0
6831,Neres,NAP,26,6.31,6.69,2,0,0,0,0,5,2,0
5687,Vlasic,TOR,30,6.08,6.68,5,0,2,2,0,3,0,0
5562,Thuram K.,JUV,33,6.23,6.67,4,0,0,0,0,5,5,0
468,Paredes,ROM,21,6.29,6.67,3,0,2,2,0,1,4,0
7008,Gimenez,MIL,12,5.79,6.67,5,0,0,1,0,1,3,1
7017,Douvikas,COM,12,6.12,6.67,2,0,0,0,0,1,1,0
6572,Castro S.,BOL,35,6.11,6.66,8,0,0,1,0,4,8,0
1933,Mandragora,FIO,28,6.21,6.66,4,0,1,1,0,4,7,0
4947,Brescianini,ATA,22,6.05,6.66,4,0,0,0,0,2,1,0
795,El Shaarawy,ROM,22,6.14,6.64,3,0,0,0,0,3,2,0
2038,Pinamonti,GEN,36,5.92,6.64,10,0,0,1,0,1,4,0
6889,Anjorin,EMP,22,6.3,6.64,2,0,0,0,0,3,3,0
4662,Weah,JUV,26,6.08,6.63,5,0,0,0,0,1,4,0
2155,Cutrone,COM,33,5.97,6.62,7,0,0,1,0,4,1,0
5079,Pohjanpalo,VEN,20,5.9,6.62,6,0,3,4,0,0,1,0
5471,Djuric,PAR,23,6.0,6.61,5,0,0,0,0,1,4,0
6629,Dele-Bashiru,LAZ,17,6.0,6.59,3,0,0,0,0,1,0,0
4896,Maldini,ATA,28,6.04,6.59,6,0,0,0,0,0,5,0
5899,Gigot,LAZ,11,6.14,6.59,2,0,0,0,0,0,2,0
4433,Zortea,CAG,35,6.04,6.57,6,0,0,0,0,2,3,0
5877,Carlos Augusto,INT,28,6.16,6.57,3,0,0,0,0,3,1,0
6801,Tengstedt,VER,23,5.78,6.57,6,0,1,1,0,1,2,0
22,De Roon,ATA,36,6.18,6.56,4,0,0,0,0,4,5,0
6670,Charpentier,PAR,9,6.06,6.56,1,0,0,0,0,2,1,0
322,De Vrij,INT,22,6.18,6.55,3,0,0,0,0,0,2,0
2160,Gosens,FIO,32,6.08,6.55,5,0,0,0,0,3,6,0
5858,Ferguson,BOL,14,6.25,6.54,1,0,1,1,0,1,0,0
6884,Conceicao,JUV,25,6.16,6.54,3,0,0,0,0,3,3,1
6666,Bernabe',PAR,19,6.34,6.53,1,0,0,0,0,1,1,0
5792,Ederson D.s.,ATA,36,6.19,6.51,4,0,0,0,0,2,3,1
6669,Bonny,PAR,37,6.03,6.51,6,0,2,3,0,4,2,0
2792,Musso,ATA,1,6.5,6.5,0,0,0,0,0,0,0,0
4436,Cambiaghi,BOL,17,6.15,6.5,1,0,0,0,0,3,0,0
2120,Bastoni,INT,33,6.38,6.5,1,0,0,0,0,4,4,1
543,Padelli,UDI,1,6.5,6.5,0,0,0,0,0,0,0,0
554,Zappacosta,ATA,30,6.07,6.48,4,0,0,0,0,2,3,0
5620,Tavares N.,LAZ,23,6.26,6.48,0,0,0,0,0,7,2,1
779,Cristante,ROM,29,6.1,6.48,4,0,0,0,0,3,8,0
